ID,Plot,Treatment,Plot Treatment,Light POM g LITTER C,Heavy POM g LITTER C,MAOM g LITTER C,Light POM g litter N,Heavy POM g litter N,MAOM g litter N,DryRootMass,Microbial Biomass,Litter % Light POM,Litter % Heavy POM,Litter % MAOM,SOM g C Light POM per gram dry soil,SOM g C Heavy POM per gram dry soil,SOM g C MAOM per gram dry soil
1,2,R,Control,0.004107972,0.007408872,0.018339879,0.000230347,0.00022912,0.001564687,0.13,6.82E-07,0.137589514,0.248147528,0.614262958,0.015740916,0.008851541,0.002727416
2,2,F,Control,0.012883815,0.011020344,0.022889219,0.000715778,0.000640172,0.002575978,,5.27E-06,0.275334151,0.23551076,0.489155089,0.017987148,0.008065723,0.004346536
3,2,T,Control,0.007358328,0.009063335,0.024959358,0.00039246,0.000421467,0.002363679,,,0.177818909,0.219021541,0.60315955,0.016266613,0.005578816,0.003074677
4,2,R,Control,0.018753085,0.01140177,0.019085186,0.000680116,0.000453509,0.001695805,0.16,,0.380850312,0.231554844,0.387594844,0.017162365,0.007220597,0.003695475
5,2,F,Control,0.010823497,0.006231984,0.023580796,0.000589366,0.000263075,0.002134386,,5.63E-06,0.266350606,0.153360112,0.580289282,0.015424224,0.007700752,0.002053913
6,2,T,Control,0.00718232,0.007095184,0.023441576,0.000367177,0.000332779,0.002064188,,,0.190416097,0.188105967,0.621477936,0.01593768,0.007467012,0.002334914
7,3,R,Organic,0.000811173,0.005687002,0.014349722,0.000471939,0.000271825,0.00129817,0.15,,0.038909104,0.272785404,0.688305492,0.015594371,0.010198611,0.004619608
8,3,F,Organic,0.002471343,0.003099748,0.021315809,9.60E-05,9.84E-05,0.001528631,,,0.091916249,0.115288412,0.792795339,0.016262478,0.009624386,0.002960845
9,3,T,Organic,0.005175611,0.007169007,0.022017936,0.000335184,0.000309488,0.002044365,,,0.150617763,0.208628468,0.640753769,0.016496316,0.011224127,0.003126725
10,3,R,Organic,0.002082395,0.005238302,0.013289725,5.53E-05,0.000250345,0.001010703,0.15,,0.10103602,0.254157921,0.64480606,0.0156512,0.009768347,0.004026292
11,3,R,Organic,0.004086866,0.005240787,0.023103076,0.000322359,0.000241057,0.002118197,0.01,1.90E-06,0.12601832,0.16159942,0.712382259,0.017258521,0.01093985,0.003610197
12,3,T,Organic,0.008923431,0.005568302,0.021884036,0.000566654,0.000253189,0.002108558,,1.28E-07,0.245312505,0.153077231,0.601610264,0.014351171,0.008327732,0.001878218
13,6,R,High N,0.001835438,0.004583619,0.02041204,6.52E-05,0.000127288,0.001468479,0.02,,0.068407117,0.170832337,0.760760546,0.01570509,0.00675373,0.003215906
14,6,F,High N,0.001156391,0.002501094,0.020467638,4.51E-05,5.66E-05,0.001453231,,7.31E-07,0.047933061,0.103671762,0.848395177,0.01651088,0.006275815,0.001944168
15,6,T,High N,0.005139851,0.003601928,0.02098322,0.00028648,0.000139066,0.001951907,,1.32E-06,0.172913412,0.121175042,0.705911546,0.015518668,0.006393946,0.001727997
16,6,R,High N,0.002846154,0.006391376,0.023963629,0.0001689,0.000181643,0.00191331,0.06,3.10E-06,0.085724538,0.192504605,0.721770857,0.015339332,0.006408547,0.002282894
17,6,F,High N,0.009582697,0.003787906,0.021589563,0.000568791,0.00017831,0.002204168,,3.89E-06,0.274103304,0.108349199,0.617547497,0.015872326,0.006936091,0.002109167
18,6,T,High N,0.013269854,0.003774489,0.023013543,0.000718738,0.000206521,0.002336764,,2.28E-06,0.331266957,0.094225866,0.574507177,0.015868401,0.006821136,0.002172405
19,9,R,Control,0.003574834,0.007731493,0.021747255,0.000165488,0.000239185,0.001855899,0.07,3.25E-06,0.108152696,0.233907871,0.657939433,0.017960953,0.006998277,0.003331991
20,9,F,Control,0.004724214,0.01009635,0.034429671,0.000318167,0.000318376,0.00316012,,1.43E-06,0.095922669,0.205001052,0.699076279,0.018960489,0.007142077,0.002485718
21,9,T,Control,0.011110156,0.004540236,0.023333581,0.000685291,0.000235403,0.00225608,,4.38E-06,0.284992912,0.116464168,0.598542919,0.013032713,0.007904567,0.001913211
22,9,R,Control,0.001681573,0.004190212,0.020245514,9.12E-05,0.000100174,0.002353519,0.07,2.14E-06,0.06438541,0.160438183,0.775176407,0.014010801,0.007232499,0.00194505
23,9,F,Control,0.004089331,0.005026762,0.019865472,0.000151111,0.000153605,0.002359832,,1.03E-06,0.14110111,0.173446879,0.685452011,0.012841401,0.007922337,0.002480496
24,9,T,Control,0.010255559,0.002534146,0.02317684,0.00056733,0.000105183,0.001841414,,2.16E-06,0.285141623,0.070458422,0.644399956,0.013980151,0.007942735,0.00118979
25,10,R,High N,0.00373409,0.009880394,0.021831906,0.000149034,0.0003384,0.001741037,0.03,5.44E-06,0.105344719,0.278741897,0.615913384,0.014234141,0.006994771,0.003665922
26,10,R,High N,0.005294103,0.014346742,0.025515131,0.000330648,0.000428159,0.001679093,0.02,1.17E-06,0.117240363,0.317715245,0.565044392,0.015303615,0.006937093,0.003674008
27,10,T,High N,0.005803547,0.007060359,0.025266392,0.000303008,0.000266121,0.001785069,,2.79E-06,0.152203033,0.185164013,0.662632954,0.015601606,0.006555587,0.003192825
28,10,R,High N,0.002757974,0.013977122,0.023529699,0.000132817,0.000413723,0.002047279,0.29,4.92E-06,0.068495916,0.347130092,0.584373992,0.016013956,0.00646081,0.00462403
29,10,F,High N,0.005442502,0.011657058,0.022842618,0.000198271,0.000318869,0.00178576,,4.99E-06,0.13625952,0.291848331,0.571892149,0.014667171,0.00673535,0.003011489
